YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2009,15,42065,19955,craiglist
2015,,90268,19999,craiglist
2019,,53430,32985,craiglist
2019,,31659,26985,craiglist
2015,,36238,29000,craiglist
2020,,35476,36985,craiglist
2017,,62239,21400,cargurus
2011,,124980,12995,cargurus
2023,,7203,34888,cargurus
2015,,125642,12699,cargurus
2023,,766,82990,autotrader
2020,,19175,60995,autotrader
2012,,126000,13500,autotrader
2021,,51988,23993,autotrader
